,location,total_sqft,bath,price,bhk
1818,Electronic City Phase II,1160.0,2.0,52.2,2
1819,Electronic City Phase II,1244.0,2.0,55.0,2
1820,Electronic City Phase II,1160.0,2.0,33.51,2
1821,Electronic City Phase II,972.0,2.0,40.0,2
1822,Electronic City Phase II,1160.0,2.0,33.51,2
1823,Electronic City Phase II,1090.0,2.0,31.48,2
1824,Electronic City Phase II,1140.0,2.0,32.92,2
1825,Electronic City Phase II,650.0,1.0,35.0,1
1826,Electronic City Phase II,1155.0,2.0,57.0,2
1827,Electronic City Phase II,1800.0,3.0,92.0,3
1828,Electronic City Phase II,1300.0,2.0,28.0,2
1829,Electronic City Phase II,1160.0,2.0,33.5,2
1830,Electronic City Phase II,1025.0,2.0,29.6,2
1831,Electronic City Phase II,829.0,2.0,22.8,2
1832,Electronic City Phase II,2187.5,4.0,105.0,4
1833,Electronic City Phase II,1252.0,2.0,67.0,2
1834,Electronic City Phase II,1125.0,2.0,32.63,2
1835,Electronic City Phase II,1140.0,2.0,34.0,2
1836,Electronic City Phase II,1252.0,2.0,65.0,3
1837,Electronic City Phase II,1135.0,2.0,46.0,2
1838,Electronic City Phase II,1305.0,3.0,65.0,3
1839,Electronic City Phase II,1165.0,2.0,33.64,2
1840,Electronic City Phase II,1336.0,2.0,50.35,3
1841,Electronic City Phase II,575.0,1.0,16.75,1
1842,Electronic City Phase II,925.0,2.0,49.82,3
1843,Electronic City Phase II,1065.0,2.0,30.76,2
1844,Electronic City Phase II,1065.0,2.0,30.75,2
1845,Electronic City Phase II,1140.0,2.0,33.06,2
1846,Electronic City Phase II,911.0,2.0,26.5,2
1847,Electronic City Phase II,1200.0,2.0,34.65,2
1848,Electronic City Phase II,1031.0,2.0,54.48,2
1849,Electronics City Phase 1,1475.0,3.0,78.29,3
1850,Electronics City Phase 1,1490.0,3.0,78.8,3
1851,Electronics City Phase 1,1113.27,2.0,53.0,2
1852,Electronics City Phase 1,1490.0,3.0,84.0,3
1853,Electronics City Phase 1,1015.0,2.0,56.0,2
1854,Electronics City Phase 1,1515.0,2.0,80.91,3
1855,Electronics City Phase 1,995.0,2.0,46.0,2
1856,Electronics City Phase 1,1555.0,2.0,82.0,3
1857,Electronics City Phase 1,1340.0,2.0,75.0,2
1858,Electronics City Phase 1,1124.0,2.0,55.0,3
1859,Electronics City Phase 1,1175.0,2.0,57.0,2
1860,Electronics City Phase 1,755.0,1.0,42.41,1
1861,Electronics City Phase 1,580.0,1.0,27.0,1
1862,Electronics City Phase 1,940.0,2.0,49.0,2
1863,Electronics City Phase 1,1335.0,2.0,67.0,2
1864,Electronics City Phase 1,1113.12,2.0,55.0,2
1865,Electronics City Phase 1,1350.0,3.0,71.0,3
1866,Electronics City Phase 1,995.0,2.0,49.8,2
1867,Electronics City Phase 1,635.0,1.0,26.0,1
1868,Electronics City Phase 1,1190.0,2.0,68.0,2
1869,Electronics City Phase 1,1450.0,3.0,72.54,3
1870,Electronics City Phase 1,360.0,1.0,16.9,1
1871,Electronics City Phase 1,638.0,1.0,32.0,1
1872,Electronics City Phase 1,1175.0,2.0,64.98,2
1873,Electronics City Phase 1,585.0,1.0,21.0,1
1874,Electronics City Phase 1,1200.0,2.0,59.76,2
1875,Electronics City Phase 1,1145.0,2.0,54.0,2
1876,Electronics City Phase 1,1125.0,2.0,65.0,2
1877,Electronics City Phase 1,1550.0,2.0,82.0,3
1878,Electronics City Phase 1,865.0,2.0,40.0,2
1879,Electronics City Phase 1,1800.0,3.0,93.0,3
1880,Electronics City Phase 1,1314.0,2.0,60.0,2
1881,Electronics City Phase 1,1170.0,2.0,62.0,2
1882,Electronics City Phase 1,1450.0,3.0,79.0,3
1883,Electronics City Phase 1,940.0,2.0,48.0,2
1884,Electronics City Phase 1,940.0,2.0,44.0,2
1885,Electronics City Phase 1,1300.0,2.0,67.0,2
1886,Electronics City Phase 1,1028.0,2.0,51.0,2
1887,Electronics City Phase 1,1205.0,2.0,60.0,2
1888,Electronics City Phase 1,1305.0,2.0,67.0,2
1889,Electronics City Phase 1,755.0,1.0,30.12,1
1890,Electronics City Phase 1,1175.0,2.0,60.0,2
1891,Frazer Town,1700.0,3.0,180.0,3
1892,Frazer Town,1305.0,3.0,95.45,3
1893,Frazer Town,1870.0,3.0,185.0,3
1894,Frazer Town,1750.0,3.0,150.0,3
1895,Frazer Town,2000.0,3.0,200.0,3
1896,Frazer Town,3500.0,4.0,330.0,3
1897,Frazer Town,2350.0,4.0,285.0,3
1898,Frazer Town,1550.0,2.0,140.0,2
1899,Frazer Town,1900.0,4.0,145.0,3
1900,Frazer Town,2560.0,3.0,265.0,3
1901,Frazer Town,2400.0,3.0,260.0,3
1902,Frazer Town,2560.0,3.0,288.0,3
1903,Frazer Town,3436.0,5.0,341.0,4
1904,Frazer Town,1315.0,2.0,140.0,2
1905,Frazer Town,1706.0,3.0,154.0,3
1906,Frazer Town,2079.0,3.0,220.0,3
1907,Frazer Town,3435.0,2.0,341.0,4
1908,Frazer Town,3436.0,5.0,345.0,4
1909,Frazer Town,3100.0,3.0,400.0,3
1910,Frazer Town,5400.0,3.0,400.0,3
1911,Frazer Town,1180.0,2.0,105.0,2
1912,Frazer Town,2900.0,4.0,325.0,4
1913,Frazer Town,1870.0,3.0,180.0,3
1914,Frazer Town,896.0,1.0,100.0,1
1915,Frazer Town,1420.0,2.0,120.0,2
1916,GM Palaya,1820.0,2.0,86.0,3
1917,GM Palaya,1225.0,2.0,47.0,2
1918,GM Palaya,1140.0,2.0,48.95,2
1919,GM Palaya,1315.0,2.0,65.0,3
1920,GM Palaya,1315.0,3.0,65.0,3
1921,GM Palaya,1315.0,3.0,64.0,3
1922,GM Palaya,1735.0,3.0,70.0,3
1923,GM Palaya,1643.0,2.0,70.0,3
1924,Garudachar Palya,1325.0,2.0,60.8,3
1925,Garudachar Palya,1060.0,2.0,48.7,2
1926,Garudachar Palya,1150.0,2.0,52.75,2
1927,Garudachar Palya,1295.0,2.0,59.5,3
1928,Garudachar Palya,1320.0,2.0,60.6,3
1929,Garudachar Palya,1295.0,2.0,59.5,3
1930,Garudachar Palya,1150.0,2.0,52.8,2
1931,Garudachar Palya,1150.0,2.0,52.8,2
1932,Garudachar Palya,1060.0,2.0,48.5,2
1933,Garudachar Palya,1150.0,2.0,52.5,2
1934,Garudachar Palya,1325.0,2.0,60.8,3
1935,Garudachar Palya,1060.0,2.0,48.66,2
1936,Garudachar Palya,1150.0,2.0,52.0,2
1937,Garudachar Palya,1154.0,2.0,51.8,2
1938,Giri Nagar,2400.0,4.0,400.0,4
1939,Giri Nagar,1800.0,3.0,252.0,3
1940,Giri Nagar,1350.0,3.0,240.0,3
1941,Giri Nagar,2400.0,4.0,400.0,4
1942,Giri Nagar,3000.0,4.0,375.0,6
1943,Giri Nagar,2400.0,6.0,400.0,6
1944,Giri Nagar,4000.0,3.0,750.0,4
1945,Gollarapalya Hosahalli,861.0,2.0,34.5,2
1946,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
1947,Gollarapalya Hosahalli,861.0,2.0,34.5,2
1948,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
1949,Gollarapalya Hosahalli,861.0,2.0,36.5,2
1950,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
1951,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
1952,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
1953,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
1954,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
1955,Gottigere,1100.0,2.0,40.0,2
1956,Gottigere,967.0,2.0,45.0,2
1957,Gottigere,1618.0,3.0,82.5,3
1958,Gottigere,1222.0,2.0,63.0,2
1959,Gottigere,1300.0,3.0,65.0,3
1960,Gottigere,950.0,2.0,38.0,2
1961,Gottigere,1153.0,2.0,48.5,2
1962,Gottigere,812.0,1.0,26.0,1
1963,Gottigere,1460.0,2.0,65.0,3
1964,Gottigere,1500.0,3.0,70.0,3
1965,Gottigere,1621.0,3.0,72.0,3
1966,Gottigere,812.0,1.0,26.0,1
1967,Gottigere,990.0,2.0,40.0,2
1968,Gottigere,1235.0,2.0,63.0,2
1969,Gottigere,1385.0,3.0,64.0,3
1970,Gottigere,1000.0,2.0,35.0,2
1971,Gottigere,1010.0,2.0,35.0,2
1972,Gottigere,1435.0,2.0,62.0,3
1973,Gottigere,945.0,2.0,45.0,2
1974,Gottigere,2500.0,3.0,120.0,4
1975,Gottigere,1230.0,2.0,52.0,3
1976,Gottigere,1120.0,2.0,50.0,2
1977,Gottigere,1500.0,3.0,63.0,3
1978,Gottigere,1200.0,2.0,40.0,2
1979,Gottigere,1280.0,2.0,61.0,2
1980,Gottigere,1205.0,2.0,56.58,2
1981,Gottigere,1170.0,2.0,40.0,2
1982,Gottigere,3000.0,3.0,132.0,4
1983,Gottigere,1613.0,3.0,72.0,3
1984,Gottigere,1110.0,2.0,36.25,2
1985,Gottigere,1245.0,2.0,59.0,2
1986,Gottigere,1200.0,2.0,50.0,2
1987,Green Glen Layout,1670.0,3.0,120.0,3
1988,Green Glen Layout,3250.0,4.0,230.0,4
1989,Green Glen Layout,1776.42,3.0,105.0,3
1990,Green Glen Layout,3250.0,4.0,230.0,4
1991,Green Glen Layout,940.0,2.0,56.8,2
1992,Green Glen Layout,1075.0,2.0,60.0,2
1993,Green Glen Layout,1715.0,3.0,115.0,3
1994,Green Glen Layout,1751.0,2.0,115.0,3
1995,Green Glen Layout,1750.0,3.0,130.0,3
1996,Green Glen Layout,1530.0,3.0,105.0,3
1997,Green Glen Layout,1752.0,3.0,105.0,3
1998,Green Glen Layout,1680.0,4.0,95.0,3
1999,Green Glen Layout,1728.0,3.0,125.0,3
2000,Green Glen Layout,1645.0,3.0,110.0,3
2001,Green Glen Layout,1517.0,3.0,100.0,3
2002,Green Glen Layout,3150.0,4.0,218.0,4
2003,Green Glen Layout,1750.0,3.0,120.0,3
2004,Green Glen Layout,1751.0,3.0,115.0,3
2005,Green Glen Layout,1750.0,3.0,105.0,3
2006,Green Glen Layout,1885.0,3.0,135.0,3
2007,Green Glen Layout,1715.0,3.0,120.0,3
2008,Green Glen Layout,1623.29,2.0,105.0,3
2009,Green Glen Layout,1715.0,3.0,115.0,3
2010,Green Glen Layout,1715.0,3.0,105.0,3
2011,Green Glen Layout,1600.0,3.0,105.0,3
2012,Green Glen Layout,1717.0,3.0,125.0,3
2013,Green Glen Layout,1250.0,2.0,75.0,2
2014,Green Glen Layout,1715.0,3.0,112.0,3
2015,Gubbalala,1470.0,2.0,82.0,3
2016,Gubbalala,1745.0,3.0,104.0,3
2017,Gubbalala,1745.0,3.0,115.0,3
2018,Gubbalala,1745.0,3.0,110.0,3
2019,Gubbalala,1650.0,3.0,71.0,3
2020,Gubbalala,2570.0,4.0,141.0,5
2021,Gubbalala,1205.0,2.0,70.0,2
2022,Gubbalala,1435.0,2.0,80.0,3
2023,Gubbalala,1475.0,2.0,80.0,2
2024,Gubbalala,1100.0,2.0,49.5,2
2025,Gubbalala,1060.0,2.0,46.0,2
2026,Gubbalala,2000.0,3.0,125.0,3
2027,Gunjur,1140.0,2.0,43.0,2
2028,Gunjur,1356.0,2.0,66.0,3
2029,Gunjur,1600.0,3.0,75.0,3
2030,Gunjur,2000.0,3.0,95.0,4
2031,Gunjur,1140.0,2.0,49.11,2
2032,Gunjur,1195.0,2.0,44.0,2
2033,Gunjur,1190.0,2.0,40.0,2
2034,Gunjur,1457.0,2.0,60.0,2
2035,Gunjur,1080.0,2.0,41.0,2
2036,Gunjur,1175.0,2.0,43.48,2
2037,Gunjur,1362.0,3.0,62.63,3
2038,Gunjur,1071.0,2.0,51.0,2
2039,Gunjur,1063.0,2.0,40.0,2
2040,Gunjur,1235.0,2.0,52.76,2
2041,Gunjur,1362.0,3.0,62.63,3
2042,Gunjur,1362.0,3.0,62.63,3
2043,Gunjur,1588.0,2.0,90.0,3
2044,Gunjur,1235.0,2.0,44.5,2
2045,Gunjur,1457.0,2.0,60.0,2
2046,HAL 2nd Stage,1490.0,2.0,300.0,3
2047,HAL 2nd Stage,600.0,3.0,145.0,2
2048,HAL 2nd Stage,2700.0,3.0,500.0,3
2049,HAL 2nd Stage,2040.0,4.0,500.0,5
2050,HBR Layout,2800.0,2.0,200.0,3
2051,HBR Layout,1722.0,3.0,95.0,3
2052,HBR Layout,1200.0,4.0,120.0,4
2053,HBR Layout,1200.0,2.0,60.0,2
2054,HBR Layout,1004.0,2.0,49.0,2
2055,HBR Layout,1783.0,3.0,125.0,3
2056,HBR Layout,1656.0,3.0,90.0,3
2057,HBR Layout,1089.0,2.0,60.0,2
2058,HBR Layout,1700.0,3.0,110.0,3
2059,HBR Layout,1198.0,2.0,65.0,2
2060,HBR Layout,1200.0,4.0,115.0,4
2061,HBR Layout,1200.0,2.0,120.0,2
2062,HBR Layout,1832.0,3.0,160.0,3
2063,HRBR Layout,1374.0,2.0,95.0,2
2064,HRBR Layout,1440.0,2.0,98.0,2
2065,HRBR Layout,2800.0,3.0,250.0,3
2066,HRBR Layout,1210.0,2.0,75.0,2
2067,HRBR Layout,1265.0,2.0,78.0,2
2068,HRBR Layout,1170.0,2.0,75.0,2
2069,HRBR Layout,1900.0,3.0,90.0,4
2070,HRBR Layout,1625.0,3.0,120.0,3
2071,HRBR Layout,1301.0,2.0,120.0,2
2072,HRBR Layout,1145.0,2.0,68.5,2
2073,HRBR Layout,1300.0,2.0,90.0,2
2074,HSR Layout,1372.0,2.0,68.0,2
2075,HSR Layout,1475.0,3.0,75.0,3
2076,HSR Layout,1467.0,2.0,55.0,2
2077,HSR Layout,1140.0,2.0,46.0,2
2078,HSR Layout,1372.0,2.0,61.0,2
2079,HSR Layout,1750.0,3.0,95.0,3
2080,HSR Layout,1027.0,2.0,44.0,2
2081,HSR Layout,1650.0,3.0,110.0,3
2082,HSR Layout,1140.0,2.0,46.0,2
2083,HSR Layout,1372.0,2.0,61.0,2
2084,HSR Layout,1140.0,2.0,46.0,2
2085,HSR Layout,1185.0,2.0,60.0,2
2086,HSR Layout,1127.0,2.0,68.0,2
2087,HSR Layout,1600.0,2.0,115.0,3
2088,HSR Layout,1145.0,2.0,48.0,2
2089,HSR Layout,1009.0,2.0,56.0,2
2090,HSR Layout,1300.0,2.0,98.0,2
2091,HSR Layout,1140.0,2.0,46.0,2
2092,HSR Layout,1126.0,2.0,69.0,2
2093,HSR Layout,1140.0,2.0,46.0,2
2094,HSR Layout,1145.0,2.0,46.0,2
2095,HSR Layout,1142.0,2.0,65.0,2
2096,HSR Layout,1145.0,2.0,46.0,2
2097,HSR Layout,1844.0,3.0,95.0,3
2098,HSR Layout,1203.0,2.0,72.0,2
2099,HSR Layout,1140.0,2.0,46.0,2
2100,HSR Layout,4200.0,5.0,245.0,5
2101,HSR Layout,1140.0,2.0,46.0,2
2102,HSR Layout,1145.0,2.0,46.0,2
2103,HSR Layout,1009.0,2.0,56.0,2
2104,HSR Layout,1145.0,2.0,46.0,2
2105,HSR Layout,1100.0,2.0,44.0,2
2106,HSR Layout,1203.0,2.0,60.0,2
2107,HSR Layout,1120.0,2.0,70.0,2
2108,HSR Layout,1140.0,2.0,46.0,2
2109,HSR Layout,1289.0,2.0,70.0,2
2110,HSR Layout,1844.0,3.0,89.0,3
2111,HSR Layout,1203.0,2.0,60.0,2
2112,HSR Layout,1140.0,2.0,46.0,2
2113,Haralur Road,1240.0,2.0,70.0,2
2114,Haralur Road,1027.0,2.0,44.0,2
2115,Haralur Road,1194.0,2.0,47.0,2
2116,Haralur Road,1202.0,2.0,53.0,2
2117,Haralur Road,1056.0,2.0,61.0,2
2118,Haralur Road,1810.0,3.0,100.0,3
2119,Haralur Road,1194.0,2.0,46.0,2
2120,Haralur Road,1225.0,2.0,67.38,2
2121,Haralur Road,1243.0,2.0,46.0,2
2122,Haralur Road,1027.0,2.0,44.0,2
2123,Haralur Road,1920.0,3.0,115.0,3
2124,Haralur Road,1875.0,3.0,110.0,3
2125,Haralur Road,1194.0,2.0,47.0,2
2126,Haralur Road,1140.0,2.0,43.0,2
2127,Haralur Road,1027.0,2.0,44.0,2
2128,Haralur Road,1194.0,2.0,46.0,2
2129,Haralur Road,2017.0,3.0,125.0,3
2130,Haralur Road,1140.0,2.0,43.0,2
2131,Haralur Road,1875.0,3.0,110.0,3
2132,Haralur Road,1092.0,2.0,44.0,2
2133,Haralur Road,2475.0,4.0,130.0,3
2134,Haralur Road,1300.0,2.0,73.0,2
2135,Haralur Road,1194.0,2.0,47.0,2
2136,Haralur Road,1243.0,2.0,46.0,2
2137,Haralur Road,1850.0,3.0,110.0,3
2138,Haralur Road,1225.0,2.0,67.38,2
2139,Haralur Road,1243.0,2.0,46.0,2
2140,Haralur Road,3400.0,5.0,240.0,4
2141,Haralur Road,1464.0,2.0,56.0,2
2142,Haralur Road,1230.0,2.0,78.0,2
2143,Haralur Road,1000.0,2.0,44.0,2
2144,Haralur Road,1300.0,2.0,79.0,2
2145,Haralur Road,1444.0,2.0,80.0,3
2146,Haralur Road,1088.0,2.0,68.0,2
2147,Haralur Road,1027.0,2.0,44.0,2
2148,Haralur Road,1225.0,2.0,70.0,2
2149,Haralur Road,1194.0,2.0,46.0,2
2150,Haralur Road,1830.0,3.0,101.0,3
2151,Haralur Road,1810.0,3.0,126.0,3
2152,Haralur Road,1464.0,2.0,56.0,2
2153,Haralur Road,1520.0,2.0,96.0,3
2154,Haralur Road,1300.0,2.0,75.0,2
2155,Haralur Road,2017.0,2.0,125.0,3
2156,Haralur Road,1243.0,2.0,46.0,2
2157,Haralur Road,1027.0,2.0,44.0,2
2158,Haralur Road,2805.0,5.0,160.0,4
2159,Haralur Road,1243.0,2.0,46.0,2
2160,Haralur Road,1027.0,2.0,44.0,2
2161,Haralur Road,2017.0,3.0,105.0,3
2162,Haralur Road,1243.0,2.0,46.0,2
2163,Haralur Road,1243.0,2.0,46.0,2
2164,Haralur Road,1520.0,2.0,90.0,3
2165,Haralur Road,1300.0,2.0,60.0,2
2166,Haralur Road,1985.0,3.0,130.0,3
2167,Haralur Road,1255.0,2.0,90.0,3
2168,Haralur Road,1056.0,2.0,60.0,2
2169,Haralur Road,1140.0,2.0,42.0,2
2170,Haralur Road,1245.0,2.0,62.0,2
2171,Haralur Road,1140.0,2.0,58.0,2
2172,Haralur Road,1140.0,2.0,42.0,2
2173,Haralur Road,1027.0,2.0,43.0,2
2174,Haralur Road,1194.0,2.0,47.0,2
2175,Haralur Road,1194.0,2.0,47.0,2
2176,Haralur Road,1560.0,3.0,90.0,3
2177,Haralur Road,1520.0,2.0,85.0,3
2178,Haralur Road,1243.0,2.0,45.0,2
2179,Haralur Road,1027.0,2.0,44.0,2
2180,Haralur Road,1194.0,2.0,46.0,2
2181,Haralur Road,1650.0,3.0,100.0,3
2182,Haralur Road,1580.0,3.0,73.0,3
2183,Haralur Road,1243.0,2.0,46.0,2
2184,Haralur Road,1194.0,2.0,47.0,2
2185,Haralur Road,1520.0,2.0,96.0,3
2186,Haralur Road,1510.0,3.0,83.05,3
2187,Haralur Road,1056.0,2.0,65.0,2
2188,Haralur Road,1810.0,3.0,100.0,3
2189,Haralur Road,1243.0,2.0,46.0,2
2190,Haralur Road,575.0,1.0,38.0,1
2191,Haralur Road,1194.0,2.0,46.0,2
2192,Haralur Road,1243.0,2.0,46.0,2
2193,Haralur Road,1194.0,2.0,46.0,2
2194,Haralur Road,1140.0,2.0,43.0,2
2195,Haralur Road,1850.0,3.0,120.0,3
2196,Haralur Road,1194.0,2.0,47.0,2
2197,Haralur Road,1194.0,2.0,47.0,2
2198,Haralur Road,1243.0,2.0,46.0,2
2199,Haralur Road,1710.0,3.0,85.0,3
2200,Haralur Road,1730.0,3.0,95.0,3
2201,Haralur Road,1243.0,2.0,46.0,2
2202,Haralur Road,1243.0,2.0,46.0,2
2203,Haralur Road,1243.0,2.0,46.0,2
2204,Haralur Road,1817.0,3.0,110.0,3
2205,Haralur Road,1225.0,2.0,77.0,2
2206,Haralur Road,1285.0,2.0,78.0,2
2207,Haralur Road,1225.0,2.0,67.48,2
2208,Haralur Road,1225.0,2.0,69.84,2
2209,Haralur Road,1200.0,2.0,46.0,2
2210,Haralur Road,1315.0,2.0,85.0,2
2211,Haralur Road,1976.0,3.0,92.0,3
2212,Haralur Road,1300.0,2.0,75.0,2
2213,Haralur Road,1309.0,2.0,82.0,2
2214,Haralur Road,1027.0,1.0,44.0,2
2215,Haralur Road,1243.0,2.0,46.0,2
2216,Haralur Road,1243.0,2.0,46.0,2
2217,Haralur Road,1140.0,2.0,43.0,2
2218,Haralur Road,1300.0,2.0,75.0,2
2219,Haralur Road,1243.0,2.0,46.0,2
2220,Haralur Road,1890.0,3.0,84.0,3
2221,Haralur Road,1230.0,2.0,67.65,2
2222,Haralur Road,1194.0,2.0,46.0,2
2223,Haralur Road,1092.0,2.0,44.0,2
2224,Haralur Road,1255.0,3.0,90.0,3
2225,Haralur Road,1735.0,3.0,97.0,3
2226,Haralur Road,1810.0,3.0,97.83,3
2227,Haralur Road,1200.0,2.0,46.0,2
2228,Haralur Road,1243.0,2.0,46.0,2
2229,Haralur Road,1810.0,3.0,112.0,3
2230,Harlur,1508.0,2.0,77.0,2
2231,Harlur,1752.12,3.0,135.0,3
2232,Harlur,1709.0,3.0,150.0,3
2233,Harlur,1174.0,2.0,69.0,2
2234,Harlur,1033.0,2.0,49.0,2
2235,Harlur,1197.0,2.0,84.0,2
2236,Harlur,1757.0,3.0,132.0,3
2237,Harlur,1174.0,2.0,76.0,2
2238,Harlur,1754.0,3.0,125.0,3
2239,Harlur,1290.0,2.0,85.0,2
2240,Harlur,1752.12,3.0,116.0,3
2241,Harlur,1754.0,3.0,135.0,3
2242,Harlur,1754.0,3.0,124.0,3
2243,Harlur,1152.0,2.0,69.0,2
2244,Harlur,1290.0,2.0,87.0,2
2245,Harlur,1749.0,3.0,115.0,3
2246,Harlur,3385.0,4.0,260.0,4
2247,Harlur,2240.0,5.0,155.0,3
2248,Harlur,1758.0,3.0,133.0,3
2249,Harlur,1197.0,2.0,79.0,2
2250,Harlur,1174.0,2.0,78.0,2
2251,Harlur,1200.0,2.0,52.0,2
2252,Harlur,1197.0,2.0,79.0,2
2253,Harlur,1749.0,3.0,112.0,3
2254,Harlur,1174.0,2.0,75.0,2
2255,Harlur,1750.0,3.0,136.0,3
2256,Harlur,1620.0,3.0,110.0,3
2257,Harlur,1762.0,3.0,133.0,3
2258,Harlur,1756.0,3.0,131.0,3
2259,Harlur,1755.0,3.0,130.0,3
2260,Harlur,1864.0,3.0,140.0,3
2261,Harlur,1331.0,2.0,88.0,2
2262,Harlur,1752.12,3.0,133.0,3
2263,Harlur,1133.0,2.0,55.0,2
2264,Harlur,1756.0,3.0,128.0,3
2265,Harlur,1749.0,3.0,120.0,3
2266,Harlur,1197.0,2.0,82.0,2
2267,Harlur,1303.0,2.0,90.0,2
2268,Harlur,1754.0,3.0,132.0,3
2269,Harlur,1174.0,2.0,75.0,2
2270,Harlur,1756.0,3.0,134.0,3
2271,Harlur,1197.0,2.0,78.0,2
2272,Harlur,1290.0,2.0,89.9,2
2273,Harlur,1386.0,2.0,85.0,2
2274,Harlur,1174.0,2.0,74.0,2
2275,Harlur,1174.0,2.0,78.0,2
2276,Harlur,1755.0,3.0,115.0,3
2277,Harlur,2569.0,4.0,175.0,4
2278,Harlur,1197.0,2.0,77.0,2
2279,Harlur,1752.12,3.0,125.0,3
2280,Harlur,2569.0,5.0,180.0,4
2281,Harlur,1225.0,2.0,56.0,2
2282,Harlur,1197.0,2.0,76.0,2
2283,Harlur,1197.0,2.0,75.0,2
2284,Harlur,1755.0,3.0,117.0,3
2285,Harlur,1197.0,2.0,79.9,2
2286,Harlur,936.0,2.0,45.0,2
2287,Harlur,2990.0,4.0,225.0,4
2288,Harlur,1370.0,2.0,88.0,2
2289,Harlur,1335.0,2.0,72.76,2
2290,Hebbal,1760.0,2.0,123.0,3
2291,Hebbal,5611.5,4.0,477.0,4
2292,Hebbal,1349.0,2.0,98.2,2
2293,Hebbal,2483.0,5.0,212.0,4
2294,Hebbal,1760.0,2.0,130.0,3
2295,Hebbal,3450.0,5.0,260.0,3
2296,Hebbal,1920.0,3.0,134.0,3
2297,Hebbal,1337.0,2.0,82.0,2
2298,Hebbal,1349.0,2.0,98.0,2
2299,Hebbal,1790.0,3.0,127.0,3
2300,Hebbal,687.325,2.0,42.72,2
2301,Hebbal,1985.0,4.0,189.0,3
2302,Hebbal,2483.0,5.0,215.0,4
2303,Hebbal,1080.0,2.0,54.0,2
2304,Hebbal,812.0,2.0,55.0,2
2305,Hebbal,3067.0,4.0,230.0,4
2306,Hebbal,2526.0,2.0,250.0,3
2307,Hebbal,3067.0,4.0,230.0,4
2308,Hebbal,823.0,2.0,50.63,2
2309,Hebbal,1420.0,2.0,123.0,2
2310,Hebbal,1420.0,2.0,99.39,2
2311,Hebbal,4235.0,4.0,365.0,4
2312,Hebbal,1700.0,3.0,124.0,3
2313,Hebbal,3960.0,5.0,386.0,4
2314,Hebbal,1420.0,2.0,99.39,2
2315,Hebbal,1440.0,2.0,115.0,2
2316,Hebbal,1100.0,2.0,54.0,2
2317,Hebbal,2400.0,4.0,180.0,3
2318,Hebbal,1420.0,2.0,107.0,2
2319,Hebbal,1320.0,2.0,92.0,2
2320,Hebbal,919.0,2.0,49.0,2
2321,Hebbal,1645.0,3.0,135.0,3
2322,Hebbal,2080.0,3.0,175.0,3
2323,Hebbal,2483.0,5.0,230.0,4
2324,Hebbal,2600.0,3.0,195.0,3
2325,Hebbal,1645.0,3.0,117.0,3
2326,Hebbal,1251.0,2.0,88.73,2
2327,Hebbal,1645.0,3.0,121.0,3
2328,Hebbal,1760.0,3.0,123.0,3
2329,Hebbal,3960.0,5.0,386.0,4
2330,Hebbal,1645.0,3.0,120.0,3
2331,Hebbal,1255.0,2.0,90.0,3
2332,Hebbal,1645.0,3.0,117.0,3
2333,Hebbal,1636.0,3.0,119.0,3
2334,Hebbal,2661.0,2.0,226.5,3
2335,Hebbal,1255.0,2.0,95.0,3
2336,Hebbal,1255.0,2.0,95.0,3
2337,Hebbal,1088.0,2.0,61.45,2
2338,Hebbal,1349.0,2.0,97.8,2
2339,Hebbal,1344.0,2.0,108.0,2
2340,Hebbal,1255.0,2.0,90.0,3
2341,Hebbal,1138.0,2.0,110.0,2
2342,Hebbal,2790.0,5.0,204.0,4
2343,Hebbal,1088.0,2.0,62.0,2
2344,Hebbal,1987.0,4.0,165.0,3
2345,Hebbal,1299.0,2.0,100.0,2
2346,Hebbal,1200.0,2.0,60.0,2
2347,Hebbal,1645.0,3.0,117.0,3
2348,Hebbal,1390.0,2.0,95.0,2
2349,Hebbal,1333.0,2.0,100.0,2
2350,Hebbal,2650.0,4.0,199.0,3
2351,Hebbal,1800.0,3.0,140.0,3
2352,Hebbal,2470.0,4.0,203.0,4
2353,Hebbal,1255.0,2.0,95.0,3
2354,Hebbal,1333.0,2.0,104.0,2
2355,Hebbal,1645.0,3.0,117.0,3
2356,Hebbal,2600.0,3.0,199.0,3
2357,Hebbal,1345.0,2.0,97.0,2
2358,Hebbal,985.0,2.0,62.0,2
2359,Hebbal,1320.0,2.0,91.0,2
2360,Hebbal,2388.0,3.0,195.0,3
2361,Hebbal,1040.0,2.0,55.0,2
2362,Hebbal,2600.0,3.0,195.0,3
2363,Hebbal,2630.0,5.0,188.0,4
2364,Hebbal,1645.0,3.0,113.0,3
2365,Hebbal,1420.0,2.0,99.39,2
2366,Hebbal,3520.0,5.0,320.0,3
2367,Hebbal,1162.0,2.0,69.0,2
2368,Hebbal,1100.0,2.0,60.0,2
2369,Hebbal,4235.0,5.0,364.0,4
